start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
125,Hudson Sq,4,Alphabet City,4:00 PM–7:00 PM,15
125,Hudson Sq,4,Alphabet City,10:00 PM–8:00 AM,15
137,Kips Bay,4,Alphabet City,8:00 AM–11:00 AM,12
137,Kips Bay,4,Alphabet City,10:00 PM–8:00 AM,13
137,Kips Bay,4,Alphabet City,7:00 PM–10:00 PM,13
137,Kips Bay,4,Alphabet City,4:00 PM–7:00 PM,13
137,Kips Bay,4,Alphabet City,11:00 AM–4:00 PM,16
140,Lenox Hill East,4,Alphabet City,7:00 PM–10:00 PM,34
140,Lenox Hill East,4,Alphabet City,4:00 PM–7:00 PM,33
140,Lenox Hill East,4,Alphabet City,8:00 AM–11:00 AM,30
140,Lenox Hill East,4,Alphabet City,10:00 PM–8:00 AM,42
140,Lenox Hill East,4,Alphabet City,11:00 AM–4:00 PM,32
141,Lenox Hill West,4,Alphabet City,10:00 PM–8:00 AM,26
141,Lenox Hill West,4,Alphabet City,7:00 PM–10:00 PM,26
141,Lenox Hill West,4,Alphabet City,4:00 PM–7:00 PM,29
141,Lenox Hill West,4,Alphabet City,11:00 AM–4:00 PM,31
141,Lenox Hill West,4,Alphabet City,8:00 AM–11:00 AM,32
142,Lincoln Square East,4,Alphabet City,7:00 PM–10:00 PM,38
142,Lincoln Square East,4,Alphabet City,8:00 AM–11:00 AM,32
142,Lincoln Square East,4,Alphabet City,11:00 AM–4:00 PM,39
142,Lincoln Square East,4,Alphabet City,10:00 PM–8:00 AM,25
142,Lincoln Square East,4,Alphabet City,4:00 PM–7:00 PM,68
143,Lincoln Square West,4,Alphabet City,11:00 AM–4:00 PM,41
143,Lincoln Square West,4,Alphabet City,4:00 PM–7:00 PM,40
143,Lincoln Square West,4,Alphabet City,8:00 AM–11:00 AM,61
143,Lincoln Square West,4,Alphabet City,7:00 PM–10:00 PM,37
143,Lincoln Square West,4,Alphabet City,10:00 PM–8:00 AM,37
144,Little Italy/NoLiTa,4,Alphabet City,11:00 AM–4:00 PM,16
144,Little Italy/NoLiTa,4,Alphabet City,7:00 PM–10:00 PM,12
144,Little Italy/NoLiTa,4,Alphabet City,4:00 PM–7:00 PM,14
144,Little Italy/NoLiTa,4,Alphabet City,8:00 AM–11:00 AM,13
144,Little Italy/NoLiTa,4,Alphabet City,10:00 PM–8:00 AM,11
145,Long Island City/Hunters Point,4,Alphabet City,10:00 PM–8:00 AM,38
145,Long Island City/Hunters Point,4,Alphabet City,4:00 PM–7:00 PM,39
145,Long Island City/Hunters Point,4,Alphabet City,8:00 AM–11:00 AM,31
145,Long Island City/Hunters Point,4,Alphabet City,7:00 PM–10:00 PM,35
145,Long Island City/Hunters Point,4,Alphabet City,11:00 AM–4:00 PM,32
146,Long Island City/Queens Plaza,4,Alphabet City,4:00 PM–7:00 PM,45
146,Long Island City/Queens Plaza,4,Alphabet City,11:00 AM–4:00 PM,20
146,Long Island City/Queens Plaza,4,Alphabet City,7:00 PM–10:00 PM,30
148,Lower East Side,4,Alphabet City,4:00 PM–7:00 PM,9
148,Lower East Side,4,Alphabet City,8:00 AM–11:00 AM,8
